month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,fatality_rate
7,Queens,571,1293,0.44160866202629545
7,Rensselaer,22,103,0.21359223300970873
7,Richmond,244,399,0.6115288220551378
7,Rockland,35,123,0.2845528455284553
7,Saratoga,0,1,0
7,Schenectady,2,7,0.2857142857142857
7,St. Lawrence,0,1,0
7,Steuben,13,29,0.4482758620689655
7,Suffolk,594,1523,0.39001969796454367
7,Sullivan,6,158,0.0379746835443038
7,Tioga,22,69,0.3188405797101449
7,Tompkins,0,1,0
7,Ulster,41,118,0.3474576271186441
7,Warren,23,55,0.41818181818181815
7,Washington,6,0,Inf
7,Wayne,0,5,0
7,Westchester,148,805,0.18385093167701863
7,Wyoming,0,3,0
7,Yates,8,15,0.5333333333333333
8,Albany,56,164,0.34146341463414637
8,Bronx,731,1368,0.5343567251461988
8,Broome,50,207,0.24154589371980675
8,Cattaraugus,0,2,0
8,Cayuga,0,1,0
8,Chautauqua,0,1,0
8,Chenango,0,5,0
8,Clinton,0,1,0
8,Columbia,21,69,0.30434782608695654
8,Cortland,0,4,0
8,Dutchess,43,131,0.3282442748091603
8,Erie,293,1197,0.24477861319966582
8,Essex,2,40,0.05
8,Fulton,29,158,0.18354430379746836
8,Genesee,0,1,0
8,Greene,14,91,0.15384615384615385
8,Herkimer,6,32,0.1875
8,Jefferson,0,1,0
8,Kings,441,1147,0.38448125544899736
8,Livingston,2,5,0.4
8,Madison,1,30,0.03333333333333333
8,Monroe,137,438,0.3127853881278539
8,Montgomery,4,21,0.19047619047619047
8,Nassau,286,858,0.3333333333333333
8,New York,316,750,0.42133333333333334
8,Niagara,21,161,0.13043478260869565
8,Oneida,58,215,0.26976744186046514
8,Onondaga,135,467,0.2890792291220557
8,Ontario,13,31,0.41935483870967744
8,Orange,156,433,0.36027713625866054
8,Orleans,39,97,0.4020618556701031
8,Oswego,0,1,0
8,Putnam,4,25,0.16
8,Queens,577,1337,0.43156320119670905
8,Rensselaer,23,128,0.1796875
8,Richmond,244,406,0.6009852216748769
8,Rockland,36,126,0.2857142857142857
8,Saratoga,0,1,0
