month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,fatality_rate
6,Livingston,76.9,153.8,0.5
6,Madison,14.5,420.3,0.0344991672614799
6,Montgomery,0,14.6,0
6,Nassau,2018.6000000000001,5416.4,0.3726829628535559
6,New York,1098.7,3158.8,0.34782195770545776
6,Niagara,148.9,913.1,0.1630708575183441
6,Oneida,509.2,1755.3,0.2900928616190965
6,Onondaga,561.6,1777.1,0.31602048280907097
6,Ontario,764.7,1287.1,0.5941263305104499
6,Orange,1615,4283,0.37707214569227177
6,Orleans,676.5,1848.3,0.3660120110371693
6,Oswego,0,5.6,0
6,Otsego,0,0,NA
6,Putnam,25,254.8,0.09811616954474096
6,Rensselaer,306.70000000000005,290,1.0575862068965518
6,Richmond,1078.1,1530.6,0.7043643015810793
6,Saratoga,0,9.1,0
6,Schenectady,8.9,22.3,0.3991031390134529
6,Schuyler,0,0,NA
6,Seneca,0,0,NA
6,St. Lawrence,0,11,0
6,Steuben,144.1,342.1,0.42122186495176844
6,Sullivan,54.4,1697.4,0.03204901614233533
6,Tioga,165.4,518.8,0.31881264456437935
6,Tompkins,0,0,NA
6,Ulster,288.5,773.7,0.3728835465942872
6,Warren,216.4,580.8,0.3725895316804408
6,Washington,33.9,0,Inf
6,Wayne,0,5.8,0
6,Westchester,1361.3,6828.3,0.19936148089568412
6,Wyoming,0,22.4,0
6,Yates,69.6,130.4,0.5337423312883435
7,Albany,355.2,1145.2,0.31016416346489695
7,Allegany,0,0,NA
7,Bronx,3486.8,6953.3,0.501459738541412
7,Broome,233.20000000000002,993.6,0.2347020933977456
7,Cattaraugus,0,8.8,0
7,Cayuga,0,14.9,0
7,Chautauqua,0,7.1,0
7,Chenango,0,35,0
7,Clinton,0,15.6,0
7,Columbia,227.3,738.3,0.30786942977109577
7,Cortland,0,6.2,0
7,Delaware,0,0,NA
7,Dutchess,402.7,954.9,0.4217195517855273
7,Erie,2023.7,8611.4,0.2350024386278654
7,Essex,0,9.9,0
7,Franklin,0,0,NA
7,Fulton,198.5,1387.6,0.143052752954742
7,Genesee,0,16.4,0
7,Greene,108.5,705.4,0.15381343918344204
7,Herkimer,0,14.2,0
7,Jefferson,0,13.2,0
7,Kings,2407.6,5962.7,0.4037768125178191
7,Lewis,0,0,NA
7,Livingston,76.9,158.4,0.485479797979798
7,Madison,14.1,408.5,0.034516523867809054
7,Montgomery,0,32.8,0
7,Nassau,2030.7,5546.1,0.36614918591442636
7,New York,1075.6,3241,0.33187287874112925
7,Niagara,148.4,1159.4,0.12799723995169915
7,Oneida,654,2024.4,0.32305868405453464
7,Onondaga,571.9,1731,0.3303870595031773
7,Ontario,500,845.6999999999999,0.5912262031453235
7,Orange,1546.8,4065.2,0.38049788448292826
7,Orleans,551,1478.8,0.3725994049229105
7,Oswego,0,5.9,0
7,Otsego,0,0,NA
7,Putnam,35.2,246.7,0.14268342115930283
7,Rensselaer,319,1798.6,0.17736016902034918
7,Richmond,1065.1,1542.3999999999999,0.6905471991701245
7,Saratoga,0,8.9,0
7,Schenectady,8.8,30.7,0.28664495114006516
7,Schuyler,0,0,NA
7,Seneca,0,0,NA
7,St. Lawrence,0,11.5,0
7,Steuben,135.9,324.70000000000005,0.4185401909454881
7,Sullivan,57.599999999999994,1697.9,0.033924259379233164
7,Tioga,147.7,463.1,0.31893759447203623
7,Tompkins,0,9.9,0
7,Ulster,292.5,777.9,0.3760123409178558
7,Warren,233.7,592.7,0.3942972836173443
7,Washington,31.7,0,Inf
7,Wayne,0,29.2,0
7,Westchester,1443.6,7087.4000000000005,0.20368541355080844
7,Wyoming,0,22.4,0
7,Yates,70.2,131.6,0.5334346504559271
8,Albany,417.9,1219,0.3428219852337982
8,Allegany,0,0,NA
8,Broome,290.6,1151.6,0.2523445640847517
8,Cattaraugus,0,17.4,0
8,Cayuga,0,14.7,0
8,Chautauqua,0,6.9,0
8,Chenango,0,35.7,0
8,Clinton,0,16.1,0
8,Columbia,222.5,729.1,0.30517075846934577
8,Cortland,0,26.7,0
8,Delaware,0,0,NA
8,Dutchess,393.7,954.7,0.41238085262386087
8,Erie,1988.3,8613.3,0.23084067662800553
8,Essex,23.3,463.5,0.05026968716289105
8,Franklin,0,0,NA
8,Fulton,197.29999999999998,1427,0.13826208829712683
8,Genesee,0,16.4,0
8,Greene,110.2,716.5,0.15380321004884856
8,Herkimer,44.8,238.8,0.18760469011725292
8,Jefferson,0,12.2,0
8,Kings,2379.5,5967.5,0.3987431922915794
8,Lewis,0,0,NA
8,Livingston,60.6,126,0.48095238095238096
8,Madison,13.7,411,0.03333333333333333
8,Monroe,1475.1,3199.9,0.4609831557236163
8,Montgomery,51.9,247.3,0.20986655883542255
8,Nassau,2030.9,5765.2,0.35226878512454035
