county,month,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
Clinton,2020-08-01,24,7374,0.0032546786004882,0.033112583
Clinton,2020-09-01,11,8927,0.00123221687016915,0.030864198
Clinton,2020-10-01,108,13069,0.00826383043844212,0.018518519
Clinton,2020-11-01,107,7471,0.0143220452416009,0.013262599
Columbia,2020-03-01,31,375,0.0826666666666667,0.032258065
Columbia,2020-04-01,171,1003,0.17048853439681,0.079207921
Columbia,2020-05-01,187,3051,0.0612913798754507,0.100257069
Columbia,2020-06-01,77,6716,0.0114651578320429,0.100858369
Columbia,2020-07-01,53,6799,0.00779526400941315,0.090558767
Columbia,2020-08-01,50,7441,0.00671952694530305,0.082601054
Columbia,2020-09-01,26,6705,0.00387770320656227,0.078991597
Columbia,2020-10-01,141,10079,0.0139894830836393,0.069293478
Columbia,2020-11-01,145,5630,0.0257548845470693,0.061293984
Cortland,2020-03-01,8,350,0.0228571428571429,0
Cortland,2020-04-01,20,793,0.0252206809583859,0.035714286
Cortland,2020-05-01,13,2908,0.00447042640990371,0.024390244
Cortland,2020-06-01,6,4942,0.00121408336705787,0.021276596
Cortland,2020-07-01,44,5727,0.00768290553518421,0.010989011
Cortland,2020-08-01,10,5510,0.00181488203266788,0.00990099
Cortland,2020-09-01,94,7807,0.0120404764954528,0.005128205
Cortland,2020-10-01,394,19707,0.0199928959253057,0.001697793
Cortland,2020-11-01,161,6455,0.0249419054996127,0.001333333
Delaware,2020-03-01,20,127,0.15748031496063,0
Delaware,2020-04-01,41,626,0.0654952076677316,0.032786885
Delaware,2020-05-01,20,2342,0.0085397096498719,0.024691358
Delaware,2020-06-01,10,4660,0.00214592274678112,0.043956044
Delaware,2020-07-01,12,3765,0.00318725099601594,0.038834951
Delaware,2020-08-01,12,4605,0.00260586319218241,0.034782609
Delaware,2020-09-01,22,5286,0.00416193719258418,0.03649635
Delaware,2020-10-01,55,7563,0.00727224646304377,0.03125
Delaware,2020-11-01,85,4355,0.0195177956371986,0.02166065
Dutchess,2020-03-01,547,2562,0.213505074160812,0.005484461
Dutchess,2020-04-01,2455,12523,0.196039287710612,0.022984677
Dutchess,2020-05-01,922,17804,0.0517861154796675,0.035423038
Dutchess,2020-06-01,289,27763,0.010409537874149,0.035841443
Dutchess,2020-07-01,291,32537,0.00894366413621416,0.033969805
Dutchess,2020-08-01,364,42510,0.00856269113149847,0.031429745
Dutchess,2020-09-01,280,36705,0.00762838850292876,0.03030303
Dutchess,2020-10-01,417,52189,0.00799018950353523,0.029649596
Dutchess,2020-11-01,620,27515,0.0225331637288752,0.027970897
Erie,2020-03-01,464,2207,0.210240144993203,0.021551724
Erie,2020-04-01,3017,14802,0.203823807593568,0.061476587
Erie,2020-05-01,2642,47504,0.0556163691478612,0.081169361
Erie,2020-06-01,1214,78201,0.0155240981573126,0.077824724
Erie,2020-07-01,1211,84624,0.0143103611268671,0.069489939
Erie,2020-08-01,1399,100096,0.0139765824808184,0.060922891
Erie,2020-09-01,1627,101943,0.0159598991593341,0.054000346
Erie,2020-10-01,1957,134470,0.0145534319922659,0.048333457
Erie,2020-11-01,4215,84830,0.0496876105151479,0.038825651
Essex,2020-03-01,6,87,0.0689655172413793,0
Essex,2020-04-01,22,303,0.0726072607260726,0
