month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,NH_monthly_fatality_rate,county_occupancy,county_cases,county_prevalence,NH_occupancy_rate,staff_flu_vaccination_rate,total_supply_ppe_monthly,total_shortage_stuff_monthly,ventilator_dependent_unit_monthly,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate,election_result.x,election_result.y
9,Ontario,0,0,NA,527,31,0.058823529,0.814263674,0.771666667,1,1,1,88,13155,0.006689472,0.058212058,R,R
10,Ontario,0,1,0,540,32,0.059259259,0.817213325,0.771666667,1,1,1,NA,NA,NA,NA,R,R
5,Orange,149,390,0.382051282,1037,390,0.37608486,0.716552839,0.862,1,1,0,1671,21308,0.07842125,0.035405872,R,R
6,Orange,13,30,0.433333333,NA,420,NA,0.73646139,0.862,1,1,0,308,25353,0.012148464,0.037371855,R,R
7,Orange,5,10,0.5,NA,430,NA,0.774433164,0.862,1,1,0,358,26167,0.013681354,0.036706349,R,R
8,Orange,2,3,0.666666667,NA,433,NA,0.783662987,0.862,1,1,0,357,28858,0.01237092,0.035736129,R,R
9,Orange,0,2,0,1143,435,0.380577428,0.784353969,0.862,1,1,0,754,33674,0.022391162,0.033855234,R,R
10,Orange,0,5,0,1152,440,0.381944444,0.785634878,0.862,1,1,0,NA,NA,NA,NA,R,R
5,Orleans,NA,NA,NA,NA,NA,NA,0.829166667,0.933333333,1,0,0,144,1862,0.077336198,0.148305085,R,R
6,Orleans,NA,NA,NA,196,97,0.494897959,0.71155303,0.933333333,1,1,0,45,2934,0.015337423,0.192170819,R,R
7,Orleans,0,0,NA,211,97,0.45971564,0.726909722,0.933333333,1,1,0,14,2908,0.004814305,0.186440678,R,R
8,Orleans,0,0,NA,227,97,0.427312775,0.76875,0.933333333,1,1,0,11,3430,0.003206997,0.179738562,R,R
9,Orleans,0,0,NA,236,97,0.411016949,0.795833333,0.933333333,1,1,0,30,4738,0.006331786,0.163690476,R,R
10,Orleans,0,0,NA,239,97,0.405857741,0.802430556,0.933333333,1,1,0,NA,NA,NA,NA,R,R
5,Oswego,NA,NA,NA,440,1,0.002272727,0.801428571,0.725,1,0,0,46,4832,0.009519868,0.018181818,R,R
6,Oswego,0,0,NA,447,1,0.002237136,0.819114583,0.725,1,1,0,91,9493,0.009586011,0.014925373,R,R
7,Oswego,0,0,NA,436,1,0.002293578,0.824947917,0.725,1,1,0,43,10080,0.004265873,0.012295082,R,R
8,Oswego,0,0,NA,399,1,0.002506266,0.813291667,0.725,1,1,0,60,10613,0.005653444,0.009868421,R,R
9,Oswego,0,0,NA,455,1,0.002197802,0.854739583,0.725,1,1,0,202,11708,0.01725316,0.005928854,R,R
10,Oswego,0,0,NA,464,1,0.002155172,0.865416667,0.725,1,0,0,NA,NA,NA,NA,R,R
5,Otsego,0,0,NA,358,0,0,0.931167109,0.936666667,1,1,0,5,2643,0.00189179,0.055555556,R,R
6,Otsego,0,0,NA,361,0,0,1.105606211,0.936666667,1,1,0,12,4951,0.002423753,0.047619048,R,R
7,Otsego,0,0,NA,354,0,0,0.924573571,0.936666667,1,1,0,28,4600,0.006086957,0.035714286,R,R
8,Otsego,0,0,NA,356,0,0,0.937051282,0.936666667,1,0,0,67,6006,0.011155511,0.022346369,R,R
9,Otsego,0,0,NA,354,0,0,0.929945844,0.936666667,1,1,0,163,8150,0.02,0.011695906,R,R
10,Otsego,0,0,NA,364,0,0,0.937951297,0.936666667,1,0,0,NA,NA,NA,NA,R,R
5,Putnam,3,22,0.136363636,201,22,0.109452736,0.6328125,0.795,1,1,0,267,5192,0.05142527,0.047732697,R,R
6,Putnam,0,3,0,204,25,0.12254902,0.62890625,0.795,1,1,0,72,7855,0.009166136,0.047404063,R,R
7,Putnam,1,0,Inf,213,25,0.117370892,0.6515625,0.795,1,1,0,96,9702,0.009894867,0.044210526,R,R
8,Putnam,0,0,NA,209,25,0.119617225,0.668125,0.795,1,1,0,80,10235,0.007816317,0.041860465,R,R
9,Putnam,0,1,0,216,26,0.12037037,0.65546875,0.795,1,1,0,124,10103,0.012273582,0.038674033,R,R
10,Putnam,0,3,0,224,29,0.129464286,0.6890625,0.795,1,1,0,NA,NA,NA,NA,R,R
5,Queens,NA,NA,NA,NA,NA,NA,0.741836737,0.776101695,1,1,1,9820,142614,0.068857195,0.100573324,D,D
6,Queens,NA,NA,NA,NA,1277,NA,0.733064376,0.776101695,1,1,1,3361,218692,0.015368646,0.107814529,D,D
7,Queens,5,34,0.147058824,NA,1311,NA,0.729024915,0.776101695,1,1,1,2586,218522,0.011834049,0.105451125,D,D
8,Queens,1,26,0.038461538,9310,1337,0.143609023,0.729962794,0.776101695,1,1,1,2247,258451,0.008694104,0.102748691,D,D
9,Queens,1,20,0.05,9359,1357,0.144994123,0.738725227,0.776101695,1,1,1,2404,250986,0.009578223,0.099777142,D,D
10,Queens,2,22,0.090909091,9387,1379,0.146905295,0.739121045,0.776101695,1,1,1,NA,NA,NA,NA,D,D
5,Rensselaer,NA,NA,NA,1080,18,0.016666667,0.857939648,0.878888889,1,1,0,194,6993,0.027742028,0.050813008,R,R
6,Rensselaer,3,3,1,1106,21,0.018987342,0.859013307,0.878888889,1,1,0,63,10422,0.006044905,0.057657658,R,R
7,Rensselaer,2,82,0.024390244,1088,103,0.094669118,0.847634942,0.878888889,1,1,0,179,12205,0.01466612,0.047683924,R,R
8,Rensselaer,1,25,0.04,1087,128,0.11775529,0.829935506,0.878888889,1,1,0,107,13518,0.007915372,0.048751486,R,R
9,Rensselaer,2,0,Inf,1084,128,0.118081181,0.839731877,0.878888889,1,1,0,82,16371,0.005008857,0.045503792,R,R
10,Rensselaer,0,17,0,1093,145,0.132662397,0.820743929,0.878888889,1,1,0,NA,NA,NA,NA,R,R
5,Richmond,239,320,0.746875,2384,320,0.134228188,0.760926137,0.857,1,1,1,1600,27296,0.058616647,0.073132895,R,R
6,Richmond,4,71,0.056338028,2410,391,0.162240664,0.763219859,0.857,1,1,1,572,45801,0.01248881,0.074349706,R,R
7,Richmond,1,8,0.125,2415,399,0.165217391,0.76407235,0.857,1,1,1,672,51639,0.01301342,0.072796157,R,R
8,Richmond,0,7,0,2411,406,0.168394857,0.762715321,0.857,1,1,1,527,63117,0.008349573,0.070747322,R,R
9,Richmond,0,4,0,2395,410,0.171189979,0.760327783,0.857,1,1,1,717,64653,0.011089973,0.067769111,R,R
10,Richmond,0,4,0,2418,414,0.171215881,0.768856536,0.857,1,1,1,NA,NA,NA,NA,R,R
5,Rockland,NA,NA,NA,NA,NA,NA,0.617029438,0.698181818,1,1,1,1373,21852,0.062831777,0.037466818,R,R
6,Rockland,NA,NA,NA,1020,119,0.116666667,0.593385392,0.698181818,1,1,1,417,24975,0.016696697,0.037200412,R,R
7,Rockland,1,4,0.25,1021,123,0.120470127,0.586090268,0.698181818,1,1,1,278,25812,0.010770184,0.036527378,R,R
8,Rockland,1,3,0.333333333,1034,126,0.121856867,0.600119277,0.698181818,1,0,1,391,29851,0.013098389,0.035596665,R,R
9,Rockland,1,7,0.142857143,1070,133,0.124299065,0.654970423,0.698181818,1,1,1,1365,37485,0.036414566,0.032553083,R,R
10,Rockland,1,7,0.142857143,1081,140,0.129509713,0.678606648,0.698181818,1,1,1,NA,NA,NA,NA,R,R
5,Saratoga,0,1,0,536,1,0.001865672,0.750810256,0.91,1,1,0,125,8460,0.014775414,0.028985507,R,R
6,Saratoga,0,0,NA,551,1,0.001814882,0.760636534,0.91,1,1,0,67,14900,0.004496644,0.027272727,R,R
7,Saratoga,0,0,NA,533,1,0.001876173,0.760917839,0.91,1,1,0,176,17765,0.009907121,0.020661157,R,R
8,Saratoga,0,0,NA,534,1,0.001872659,0.760960589,0.91,1,1,0,120,24880,0.004823151,0.017730496,R,R
9,Saratoga,0,0,NA,530,1,0.001886792,0.754725342,0.91,1,1,0,227,31601,0.007183317,0.013979497,R,R
10,Saratoga,0,0,NA,531,1,0.001883239,0.746975002,0.91,1,1,0,NA,NA,NA,NA,R,R
5,Schenectady,0,1,0,959,1,0.001042753,0.924031668,0.888333333,1,1,1,179,8683,0.020614995,0.04040404,D,D
6,Schenectady,2,4,0.5,955,5,0.005235602,0.920759846,0.888333333,1,1,1,112,14634,0.00765341,0.043478261,D,D
7,Schenectady,0,2,0,944,7,0.007415254,0.921086965,0.888333333,1,1,1,227,14460,0.015698479,0.037790698,D,D
8,Schenectady,1,4,0.25,941,11,0.011689692,0.896472383,0.888333333,1,1,1,239,17151,0.013935048,0.033831629,D,D
9,Schenectady,0,4,0,940,15,0.015957447,0.883706192,0.888333333,1,1,1,146,25388,0.005750748,0.03246295,D,D
10,Schenectady,0,1,0,950,16,0.016842105,0.914596267,0.888333333,1,1,1,NA,NA,NA,NA,D,D
5,Schuyler,0,0,NA,112,0,0,0.941666667,0.89,1,0,0,4,1125,0.003555556,0,R,R
6,Schuyler,0,0,NA,114,0,0,0.94375,0.89,1,0,0,2,1522,0.00131406,0,R,R
7,Schuyler,0,0,NA,110,0,0,0.9375,0.89,1,0,0,9,1859,0.004841313,0,R,R
8,Schuyler,0,0,NA,114,0,0,0.938333333,0.89,1,0,0,4,1874,0.002134472,0,R,R
9,Schuyler,0,0,NA,116,0,0,0.952083333,0.89,1,0,0,21,2498,0.008406725,0,R,R
10,Schuyler,0,8,0,110,8,0.072727273,0.95,0.89,1,1,0,NA,NA,NA,NA,R,R
5,Seneca,0,0,NA,60,0,0,0.533333333,0.95,1,1,0,18,1755,0.01025641,0.016949153,R,R
6,Seneca,0,0,NA,66,0,0,0.522916667,0.95,1,1,0,11,3145,0.003497615,0.014285714,R,R
7,Seneca,0,0,NA,69,0,0,0.56875,0.95,1,1,0,15,3064,0.004895561,0.011764706,R,R
8,Seneca,0,0,NA,70,0,0,0.591666667,0.95,1,1,0,15,2952,0.005081301,0.01,R,R
9,Seneca,0,0,NA,73,0,0,0.60625,0.95,1,1,0,8,3339,0.002395927,0.009259259,R,R
10,Seneca,0,0,NA,72,0,0,0.597916667,0.95,1,1,0,NA,NA,NA,NA,R,R
5,St. Lawrence,0,1,0,534,1,0.001872659,0.834465738,NA,1,1,0,29,7646,0.003792833,0.009756098,NA,NA
6,St. Lawrence,0,0,NA,545,1,0.001834862,0.838514082,NA,1,1,0,14,8403,0.001666072,0.01369863,NA,NA
7,St. Lawrence,0,0,NA,545,1,0.001834862,0.84095843,NA,1,1,0,42,9996,0.004201681,0.01532567,NA,NA
8,St. Lawrence,0,0,NA,540,1,0.001851852,0.846123016,NA,1,0,0,14,15255,0.000917732,0.014545455,NA,NA
9,St. Lawrence,0,0,NA,540,1,0.001851852,0.84885949,NA,1,0,0,55,18360,0.002995643,0.012121212,NA,NA
10,St. Lawrence,0,0,NA,550,1,0.001818182,0.847684984,NA,1,0,0,NA,NA,NA,NA,NA,NA
5,Steuben,13,27,0.481481481,556,27,0.048561151,0.79461414,0.918333333,1,1,0,25,3623,0.006900359,0.112033195,R,R
6,Steuben,0,2,0,561,29,0.051693405,0.813582132,0.918333333,1,1,0,27,6943,0.003888809,0.108208955,R,R
7,Steuben,0,0,NA,577,29,0.050259965,0.824698465,0.918333333,1,1,0,22,7369,0.00298548,0.1,R,R
8,Steuben,0,0,NA,572,29,0.050699301,0.833530702,0.918333333,1,1,0,25,8284,0.003017866,0.123809524,R,R
9,Steuben,0,38,0,568,67,0.117957746,0.799270311,0.918333333,1,1,0,149,8845,0.016845676,0.092672414,R,R
10,Steuben,29,56,0.517857143,541,123,0.227356747,0.801210056,0.918333333,1,1,0,NA,NA,NA,NA,R,R
5,Suffolk,534,1325,0.403018868,6153,1325,0.21534211,0.725258038,0.84952381,1,1,1,5668,92760,0.061103924,0.047324015,R,R
6,Suffolk,51,161,0.316770186,NA,1486,NA,0.806430405,0.84952381,1,1,1,1722,140429,0.012262424,0.047819055,R,R
7,Suffolk,9,37,0.243243243,NA,1523,NA,0.74173451,0.84952381,1,1,1,1873,153584,0.012195281,0.046120092,R,R
8,Suffolk,4,16,0.25,NA,1539,NA,0.761838541,0.84952381,1,1,1,1585,181553,0.008730233,0.044602874,R,R
9,Suffolk,0,9,0,6444,1548,0.240223464,0.776148795,0.84952381,1,1,1,1678,170901,0.00981855,0.043274703,R,R
10,Suffolk,3,13,0.230769231,6508,1561,0.239858636,0.785341217,0.84952381,1,1,1,NA,NA,NA,NA,R,R
5,Sullivan,NA,NA,NA,NA,NA,NA,0.767153026,0.8675,1,1,0,509,4396,0.115787079,0.022318215,R,R
6,Sullivan,NA,NA,NA,341,158,0.463343109,0.782396325,0.8675,1,1,0,63,5416,0.011632201,0.024104683,R,R
7,Sullivan,0,0,NA,329,158,0.480243161,0.788664366,0.8675,1,1,0,31,5016,0.006180223,0.024949427,R,R
8,Sullivan,0,0,NA,344,158,0.459302326,0.789849578,0.8675,1,0,0,47,4887,0.009617352,0.024183007,R,R
9,Sullivan,0,0,NA,326,158,0.484662577,0.797417275,0.8675,1,0,0,77,6412,0.012008734,0.023024269,R,R
10,Sullivan,0,0,NA,341,158,0.463343109,0.76285744,0.8675,1,0,0,NA,NA,NA,NA,R,R
5,Tioga,NA,NA,NA,204,65,0.318627451,0.81008658,0.85,1,1,0,40,2314,0.017286085,0.130769231,R,R
6,Tioga,1,4,0.25,201,69,0.343283582,0.779935065,0.85,1,1,0,13,3839,0.003386299,0.132867133,R,R
7,Tioga,0,0,NA,221,69,0.312217195,0.805551948,0.85,1,0,0,45,3867,0.011636928,0.111702128,R,R
8,Tioga,0,1,0,236,70,0.296610169,0.846753247,0.85,1,0,0,21,4194,0.005007153,0.100478469,R,R
9,Tioga,0,0,NA,232,70,0.301724138,0.847069805,0.85,1,0,0,47,5443,0.008634944,0.08203125,R,R
10,Tioga,2,35,0.057142857,223,105,0.470852018,0.840819805,0.85,1,1,0,NA,NA,NA,NA,R,R
5,Tompkins,0,0,NA,357,0,0,0.816805556,0.65,1,1,0,36,6974,0.00516203,0,D,D
6,Tompkins,0,0,NA,366,0,0,0.820138889,0.65,1,1,0,13,8637,0.001505152,0,D,D
7,Tompkins,0,1,0,362,1,0.002762431,0.816527778,0.65,1,1,0,53,12427,0.004264907,0,D,D
8,Tompkins,0,0,NA,366,1,0.00273224,0.830888889,0.65,1,1,0,40,26517,0.001508466,0,D,D
9,Tompkins,0,0,NA,372,1,0.002688172,0.846736111,0.65,1,1,0,156,121605,0.001282842,0,D,D
10,Tompkins,0,3,0,359,4,0.011142061,0.827847222,0.65,1,1,0,NA,NA,NA,NA,D,D
5,Ulster,40,118,0.338983051,1028,118,0.114785992,0.827007372,0.851428571,1,1,1,393,11512,0.03413829,0.044352454,D,D
6,Ulster,1,0,Inf,1038,118,0.113680154,0.89456631,0.851428571,1,1,1,91,17778,0.005118686,0.045454545,D,D
7,Ulster,0,0,NA,1032,118,0.114341085,0.817462098,0.851428571,1,1,1,244,18961,0.01286852,0.039980257,D,D
8,Ulster,1,5,0.2,1056,123,0.116477273,0.840193917,0.851428571,1,1,1,150,19070,0.007865758,0.037683824,D,D
9,Ulster,0,7,0,1045,130,0.124401914,0.832636379,0.851428571,1,1,1,106,18962,0.005590128,0.036809816,D,D
10,Ulster,0,3,0,1030,133,0.129126214,0.821187538,0.851428571,1,1,1,NA,NA,NA,NA,D,D
5,Warren,19,51,0.37254902,305,51,0.167213115,0.784501055,0.9375,1,1,0,73,3646,0.020021942,0.109803922,R,R
6,Warren,2,4,0.5,333,55,0.165165165,1.026827965,0.9375,1,1,0,8,4967,0.00161063,0.114068441,R,R
7,Warren,2,0,Inf,335,55,0.164179104,0.83442109,0.9375,1,1,0,37,5998,0.006168723,0.1,R,R
8,Warren,0,0,NA,335,55,0.164179104,0.846604909,0.9375,1,1,0,22,6168,0.003566796,0.093167702,R,R
9,Warren,0,0,NA,337,55,0.163204748,0.845422432,0.9375,1,1,0,69,7180,0.009610028,0.076726343,R,R
10,Warren,0,1,0,342,56,0.16374269,0.856921481,0.9375,1,1,0,NA,NA,NA,NA,R,R
5,Washington,6,0,Inf,497,0,0,0.950057407,0.87,1,1,0,65,2974,0.021856086,0.059574468,R,R
6,Washington,0,0,NA,493,0,0,1.065455676,0.87,1,1,0,11,5331,0.002063403,0.056910569,R,R
7,Washington,0,0,NA,502,0,0,0.942440464,0.87,1,1,0,9,5602,0.001606569,0.054901961,R,R
8,Washington,0,0,NA,504,0,0,0.942685301,0.87,1,1,0,13,5293,0.002456074,0.052238806,R,R
9,Washington,0,0,NA,488,0,0,0.932123991,0.87,1,1,0,34,6504,0.005227552,0.046357616,R,R
10,Washington,0,0,NA,504,0,0,0.941704812,0.87,1,1,0,NA,NA,NA,NA,R,R
5,Wayne,NA,NA,NA,509,0,0,0.935427867,0.675,1,1,0,45,4443,0.010128292,0.017241379,R,R
6,Wayne,0,1,0,495,1,0.002020202,0.896668487,0.675,1,1,0,58,9382,0.006182051,0.011494253,R,R
7,Wayne,0,4,0,494,5,0.010121457,0.88984305,0.675,1,1,0,71,10230,0.006940371,0.008163265,R,R
8,Wayne,0,0,NA,485,5,0.010309278,0.859918795,0.675,1,1,0,35,10077,0.003473256,0.010714286,R,R
9,Wayne,0,0,NA,489,5,0.010224949,0.864179407,0.675,1,1,0,46,10853,0.004238459,0.009202454,R,R
10,Wayne,0,11,0,497,16,0.032193159,0.873298191,0.675,1,1,0,NA,NA,NA,NA,R,R
5,Westchester,NA,NA,NA,NA,NA,NA,0.721448464,0.767272727,1,1,1,4320,67466,0.064032253,0.040504292,D,D
6,Westchester,NA,NA,NA,4808,775,0.161189684,0.737155798,0.767272727,1,1,1,1314,108784,0.012078982,0.040870762,D,D
7,Westchester,9,30,0.3,4814,805,0.167220607,0.742354186,0.767272727,1,1,1,1108,123525,0.008969844,0.040167899,D,D
8,Westchester,2,12,0.166666667,4944,810,0.163834951,0.757244654,0.767272727,1,1,1,1047,140735,0.007439514,0.039220983,D,D
9,Westchester,1,14,0.071428571,4964,824,0.165995165,0.776740869,0.767272727,1,1,1,1279,135707,0.009424716,0.038015666,D,D
10,Westchester,9,38,0.236842105,4989,862,0.172780116,0.786986748,0.767272727,1,1,1,NA,NA,NA,NA,D,D
5,Wyoming,0,3,0,207,3,0.014492754,0.94076087,0.885,1,1,0,18,1830,0.009836066,0.046511628,R,R
6,Wyoming,0,0,NA,207,3,0.014492754,0.949411232,0.885,1,0,0,9,3309,0.002719855,0.042105263,R,R
7,Wyoming,0,0,NA,208,3,0.014423077,0.943976449,0.885,1,1,0,17,3735,0.004551539,0.035714286,R,R
8,Wyoming,0,0,NA,210,3,0.014285714,0.954655797,0.885,1,0,0,14,4044,0.003461919,0.031746032,R,R
9,Wyoming,0,0,NA,207,3,0.014492754,0.946286232,0.885,1,1,0,11,6903,0.00159351,0.02919708,R,R
10,Wyoming,0,0,NA,204,3,0.014705882,0.929415761,0.885,1,0,0,NA,NA,NA,NA,R,R
5,Yates,8,15,0.533333333,152,15,0.098684211,0.852898551,0.985,1,1,0,21,1151,0.018245004,0.153846154,R,R
6,Yates,0,0,NA,159,15,0.094339623,0.858695652,0.985,1,0,0,7,2163,0.003236246,0.130434783,R,R
7,Yates,0,0,NA,159,15,0.094339623,0.855543478,0.985,1,0,0,9,2028,0.00443787,0.109090909,R,R
8,Yates,0,0,NA,162,15,0.092592593,0.875130435,0.985,1,0,0,7,2119,0.003303445,0.096774194,R,R
9,Yates,0,0,NA,158,15,0.094936709,0.872898551,0.985,1,0,0,2,2245,0.000890869,0.09375,R,R
10,Yates,1,0,Inf,156,15,0.096153846,0.865144928,0.985,1,0,0,NA,NA,NA,NA,R,R
