month,county,NH_occupancy_rate
10,Albany,0.8504863317251561
10,Allegany,0.8725554986338798
10,Bronx,0.8286575918818058
10,Broome,0.8125287424164839
10,Cattaraugus,0.7631215726596161
10,Cayuga,0.8838358765328874
10,Chautauqua,0.8848314591938083
10,Chemung,0.8849545965927355
10,Chenango,0.7428089094940536
10,Clinton,0.8199693718608299
10,Columbia,0.7748818277310924
10,Cortland,0.8510912698412698
10,Delaware,0.8466448016752894
10,Dutchess,0.8381196275191501
10,Erie,0.8168483684498542
10,Essex,0.8453306878306879
10,Franklin,0.9145833333333333
10,Fulton,0.8385380591630591
10,Genesee,0.9031676027265745
10,Greene,0.8927083333333333
10,Herkimer,0.8591177786298568
10,Jefferson,0.9523838702147526
10,Kings,0.8035675757360303
10,Lewis,0.8484375
10,Livingston,0.7855419799498747
10,Madison,0.909375
10,Monroe,0.8167728947567798
10,Montgomery,0.8989732142857143
10,Nassau,0.7482312136303261
10,New York,0.8013985787075676
10,Niagara,0.8281397935713926
10,Oneida,0.8192580047299499
10,Onondaga,0.8661804104938661
10,Ontario,0.8172133251893114
10,Orange,0.7856348780680573
10,Orleans,0.8024305555555555
10,Oswego,0.8654166666666667
10,Otsego,0.9379512967875037
10,Putnam,0.6890625
10,Queens,0.739121045344287
10,Rensselaer,0.8207439287212721
10,Richmond,0.7688565360211771
10,Rockland,0.6786066483803552
10,Saratoga,0.7469750020858458
10,Schenectady,0.9145962674696267
10,Schuyler,0.95
10,Seneca,0.5979166666666667
10,St. Lawrence,0.8476849835462641
10,Steuben,0.8012100563909774
10,Suffolk,0.7853412165934124
10,Sullivan,0.7628574396368136
10,Tioga,0.8408198051948051
10,Tompkins,0.8278472222222222
10,Ulster,0.8211875384038576
10,Warren,0.8569214808734625
10,Washington,0.9417048115818607
10,Wayne,0.8732981910842293
10,Westchester,0.7869867475512827
10,Wyoming,0.9294157608695652
10,Yates,0.8651449275362318
5,Albany,0.7946724581727235
5,Allegany,0.91875
5,Bronx,0.8330698580415637
5,Broome,0.855472311916984
5,Cattaraugus,0.8340046024285155
5,Cayuga,0.8656702898550724
5,Chautauqua,0.8911800060568206
5,Chemung,0.9069631951141113
5,Chenango,0.7763063002530851
5,Clinton,0.8435089128827744
5,Columbia,0.7819444444444444
5,Cortland,0.8462466124661246
5,Delaware,0.7529563932002956
5,Dutchess,0.8296087438484218
5,Erie,0.8120036723549192
5,Essex,0.9203615520282187
5,Franklin,0.8768518518518519
5,Fulton,0.8424765512265513
5,Genesee,0.9413702476958525
5,Greene,0.8077205882352941
5,Herkimer,0.9135736196319019
5,Jefferson,0.9261963118580766
5,Kings,0.7717977371700185
5,Lewis,0.85625
5,Livingston,0.8388314536340852
5,Madison,0.8104166666666667
5,Monroe,0.8201535969083414
5,Montgomery,0.8733333333333333
5,Nassau,0.7231122342781245
5,New York,0.7836197287290542
5,Niagara,0.8342790111925311
5,Oneida,0.8555026766338405
5,Onondaga,0.8209303667938759
5,Ontario,0.7764061091903001
5,Orange,0.7165528391952658
5,Orleans,0.8291666666666666
5,Oswego,0.8014285714285714
5,Otsego,0.9311671087533157
5,Putnam,0.6328125
5,Queens,0.7418367374235182
5,Rensselaer,0.857939648250882
5,Richmond,0.7609261371730397
5,Rockland,0.617029438473404
5,Saratoga,0.7508102562935658
