month,day,county,total_number_of_occupied_beds,residents_total_confirmed_covid_19,county_occupancy,county_cases,county_prevalence
6,28,Oneida,102,1,2143,182,0.08492767148856743
7,26,Oneida,95,1,2082,212,0.10182516810758886
8,30,Oneida,90,1,2117,215,0.10155880963627775
9,27,Oneida,87,1,2093,220,0.1051122790253225
10,25,Oneida,89,1,2094,269,0.12846227316141356
5,31,Monroe,69,0,3810,404,0.10603674540682415
6,28,Monroe,67,0,3779,434,0.11484519714210109
7,26,Monroe,70,0,3847,436,0.1133350662854172
8,30,Monroe,72,0,4000,438,0.1095
9,27,Monroe,70,0,4026,441,0.10953800298062594
10,25,Monroe,71,0,4147,473,0.11405835543766578
5,31,Oneida,97,0,2175,98,0.045057471264367814
6,28,Oneida,95,0,2143,182,0.08492767148856743
7,26,Oneida,94,0,2082,212,0.10182516810758886
8,30,Oneida,93,0,2117,215,0.10155880963627775
9,27,Oneida,93,0,2093,220,0.1051122790253225
10,25,Oneida,92,0,2094,269,0.12846227316141356
5,31,Rockland,147,0,958,87,0.09081419624217119
6,28,Rockland,151,0,1020,119,0.11666666666666667
7,26,Rockland,144,0,1021,123,0.12047012732615084
8,30,Rockland,145,0,1034,126,0.1218568665377176
9,27,Rockland,148,1,1070,133,0.12429906542056075
10,25,Rockland,160,2,1081,140,0.12950971322849214
5,31,Albany,81,0,1411,130,0.09213323883770376
6,28,Albany,79,0,1443,141,0.09771309771309772
7,26,Albany,100,0,1474,155,0.10515603799185888
8,30,Albany,111,0,1484,164,0.1105121293800539
9,27,Albany,112,0,1475,164,0.1111864406779661
10,25,Albany,117,0,1519,169,0.11125740618828177
5,31,Queens,180,28,8683,914,0.10526315789473684
6,28,Queens,175,38,9066,1219,0.13445841606000442
7,26,Queens,163,38,9114,1253,0.13748079877112135
8,30,Queens,155,38,9310,1337,0.14360902255639096
9,27,Queens,154,38,9359,1357,0.14499412330377176
10,25,Queens,154,38,9387,1379,0.14690529455630127
5,31,Queens,223,3,8683,914,0.10526315789473684
6,28,Queens,222,3,9066,1219,0.13445841606000442
7,26,Queens,225,3,9114,1253,0.13748079877112135
8,30,Queens,218,3,9310,1337,0.14360902255639096
9,27,Queens,217,3,9359,1357,0.14499412330377176
10,25,Queens,216,3,9387,1379,0.14690529455630127
5,31,Suffolk,204,0,6153,1325,0.21534210954006175
6,28,Suffolk,204,2,6152,1484,0.24122236671001301
7,26,Suffolk,198,2,6180,1521,0.24611650485436892
8,30,Suffolk,207,3,6343,1537,0.24231436228913764
9,27,Suffolk,225,3,6444,1548,0.24022346368715083
10,25,Suffolk,218,3,6508,1561,0.23985863552550707
5,31,Niagara,127,6,1012,67,0.06620553359683795
6,28,Niagara,133,8,1109,108,0.09738503155996393
7,26,Niagara,135,22,1129,141,0.12488928255093003
8,30,Niagara,137,22,1145,161,0.1406113537117904
9,27,Niagara,131,22,1130,163,0.14424778761061946
10,25,Niagara,128,22,1154,169,0.1464471403812825
5,31,Bronx,201,18,8232,798,0.09693877551020408
6,28,Bronx,205,29,9266,1328,0.14331966328512843
7,26,Bronx,190,29,9248,1357,0.14673442906574394
8,30,Bronx,189,29,9057,1372,0.15148503919620182
9,27,Bronx,189,29,9345,1382,0.14788657035848046
10,25,Bronx,184,29,9386,1391,0.1481994459833795
5,31,Oswego,177,1,440,1,0.0022727272727272726
6,28,Oswego,178,1,447,1,0.0022371364653243847
7,26,Oswego,170,1,436,1,0.0022935779816513763
8,30,Oswego,178,1,399,1,0.002506265664160401
9,27,Oswego,177,1,455,1,0.002197802197802198
10,25,Oswego,181,1,464,1,0.0021551724137931034
5,31,Nassau,50,0,4872,610,0.12520525451559936
6,28,Nassau,59,0,5334,808,0.15148106486689164
7,26,Nassau,51,0,5399,842,0.15595480644563808
8,30,Nassau,50,0,5400,858,0.15888888888888889
