month,day,county,total_number_of_occupied_beds,residents_total_confirmed_covid_19,county_occupancy,county_cases,county_prevalence
9,27,Oneida,115,0,2093,220,0.1051122790253225
10,25,Oneida,115,0,2094,269,0.12846227316141356
5,31,Westchester,173,9,4474,626,0.1399195350916406
6,28,Westchester,175,25,4808,775,0.16118968386023294
7,26,Westchester,179,25,4814,805,0.16722060656418777
8,30,Westchester,183,25,4944,810,0.1638349514563107
9,27,Westchester,186,25,4964,824,0.16599516518936341
10,25,Westchester,191,28,4989,862,0.17278011625576267
5,31,Nassau,190,28,4872,610,0.12520525451559936
6,28,Nassau,194,33,5334,808,0.15148106486689164
7,26,Nassau,204,33,5399,842,0.15595480644563808
8,30,Nassau,208,33,5400,858,0.15888888888888889
9,27,Nassau,206,33,5529,861,0.15572436245252305
10,25,Nassau,218,33,5566,867,0.15576715774344232
5,31,Westchester,59,1,4474,626,0.1399195350916406
6,28,Westchester,57,1,4808,775,0.16118968386023294
7,26,Westchester,62,1,4814,805,0.16722060656418777
8,30,Westchester,65,1,4944,810,0.1638349514563107
9,27,Westchester,75,1,4964,824,0.16599516518936341
10,25,Westchester,71,1,4989,862,0.17278011625576267
5,31,Nassau,229,40,4872,610,0.12520525451559936
6,28,Nassau,230,90,5334,808,0.15148106486689164
7,26,Nassau,225,90,5399,842,0.15595480644563808
8,30,Nassau,220,92,5400,858,0.15888888888888889
9,27,Nassau,226,92,5529,861,0.15572436245252305
10,25,Nassau,226,92,5566,867,0.15576715774344232
5,31,Queens,184,0,8683,914,0.10526315789473684
6,28,Queens,195,5,9066,1219,0.13445841606000442
7,26,Queens,196,5,9114,1253,0.13748079877112135
8,30,Queens,210,5,9310,1337,0.14360902255639096
9,27,Queens,222,6,9359,1357,0.14499412330377176
10,25,Queens,228,6,9387,1379,0.14690529455630127
5,31,Onondaga,37,0,2297,386,0.16804527644754028
6,28,Onondaga,37,0,2354,461,0.19583687340696687
7,26,Onondaga,38,0,2414,463,0.19179784589892296
8,30,Onondaga,35,0,2425,467,0.19257731958762886
9,27,Onondaga,39,0,2449,468,0.19109840751327073
10,25,Onondaga,37,0,2422,473,0.1952931461601982
5,31,Oneida,172,0,2175,98,0.045057471264367814
6,28,Oneida,174,0,2143,182,0.08492767148856743
7,26,Oneida,175,0,2082,212,0.10182516810758886
8,30,Oneida,176,0,2117,215,0.10155880963627775
9,27,Oneida,175,0,2093,220,0.1051122790253225
10,25,Oneida,182,0,2094,269,0.12846227316141356
5,31,Orange,37,6,1037,390,0.3760848601735776
6,28,Orange,35,6,1007,420,0.4170804369414101
7,26,Orange,34,6,1034,430,0.4158607350096712
8,30,Orange,35,6,1048,433,0.4131679389312977
9,27,Orange,37,6,1143,435,0.3805774278215223
10,25,Orange,36,6,1152,440,0.3819444444444444
5,31,Ulster,92,25,1028,118,0.11478599221789883
6,28,Ulster,88,25,1038,118,0.11368015414258188
7,26,Ulster,83,25,1032,118,0.11434108527131782
8,30,Ulster,90,25,1056,123,0.11647727272727272
9,27,Ulster,88,25,1045,130,0.12440191387559808
10,25,Ulster,84,25,1030,133,0.129126213592233
5,31,Queens,235,3,8683,914,0.10526315789473684
6,28,Queens,239,7,9066,1219,0.13445841606000442
7,26,Queens,249,7,9114,1253,0.13748079877112135
8,30,Queens,246,7,9310,1337,0.14360902255639096
9,27,Queens,254,7,9359,1357,0.14499412330377176
10,25,Queens,245,7,9387,1379,0.14690529455630127
5,31,Kings,313,10,7723,851,0.11019034054124045
6,28,Kings,316,20,7928,1106,0.13950554994954592
7,26,Kings,319,21,8019,1136,0.1416635490709565
8,30,Kings,308,22,8153,1147,0.14068441064638784
9,27,Kings,305,22,8145,1176,0.1443830570902394
10,25,Kings,306,25,8167,1234,0.1510958736378107
5,31,Westchester,123,25,4474,626,0.1399195350916406
6,28,Westchester,124,26,4808,775,0.16118968386023294
7,26,Westchester,121,26,4814,805,0.16722060656418777
8,30,Westchester,121,27,4944,810,0.1638349514563107
9,27,Westchester,117,27,4964,824,0.16599516518936341
10,25,Westchester,115,28,4989,862,0.17278011625576267
5,31,Nassau,195,0,4872,610,0.12520525451559936
6,28,Nassau,197,0,5334,808,0.15148106486689164
7,26,Nassau,201,2,5399,842,0.15595480644563808
8,30,Nassau,200,2,5400,858,0.15888888888888889
9,27,Nassau,199,2,5529,861,0.15572436245252305
10,25,Nassau,199,2,5566,867,0.15576715774344232
5,31,Westchester,134,18,4474,626,0.1399195350916406
6,28,Westchester,132,22,4808,775,0.16118968386023294
7,26,Westchester,135,24,4814,805,0.16722060656418777
8,30,Westchester,138,26,4944,810,0.1638349514563107
9,27,Westchester,136,28,4964,824,0.16599516518936341
10,25,Westchester,143,28,4989,862,0.17278011625576267
5,31,Dutchess,130,6,1506,123,0.08167330677290836
6,28,Dutchess,139,7,1603,126,0.07860262008733625
7,26,Dutchess,137,7,1588,129,0.08123425692695214
8,30,Dutchess,139,7,1601,131,0.08182386008744534
9,27,Dutchess,135,7,1627,133,0.08174554394591273
10,25,Dutchess,140,7,1633,133,0.08144519289650949
5,31,Kings,238,0,7723,851,0.11019034054124045
6,28,Kings,235,3,7928,1106,0.13950554994954592
7,26,Kings,242,3,8019,1136,0.1416635490709565
8,30,Kings,251,3,8153,1147,0.14068441064638784
9,27,Kings,245,5,8145,1176,0.1443830570902394
10,25,Kings,242,5,8167,1234,0.1510958736378107
5,31,Albany,165,1,1411,130,0.09213323883770376
6,28,Albany,158,4,1443,141,0.09771309771309772
7,26,Albany,159,4,1474,155,0.10515603799185888
8,30,Albany,170,4,1484,164,0.1105121293800539
9,27,Albany,162,4,1475,164,0.1111864406779661
10,25,Albany,165,6,1519,169,0.11125740618828177
5,31,Queens,168,69,8683,914,0.10526315789473684
6,28,Queens,169,89,9066,1219,0.13445841606000442
7,26,Queens,157,89,9114,1253,0.13748079877112135
8,30,Queens,161,89,9310,1337,0.14360902255639096
9,27,Queens,171,89,9359,1357,0.14499412330377176
10,25,Queens,177,89,9387,1379,0.14690529455630127
5,31,Oswego,114,0,440,1,0.0022727272727272726
6,28,Oswego,116,0,447,1,0.0022371364653243847
7,26,Oswego,108,0,436,1,0.0022935779816513763
8,30,Oswego,115,0,399,1,0.002506265664160401
9,27,Oswego,116,0,455,1,0.002197802197802198
10,25,Oswego,120,0,464,1,0.0021551724137931034
5,31,Erie,48,0,4271,782,0.18309529384219153
6,28,Erie,45,0,4473,1113,0.24882629107981222
7,26,Erie,47,0,4481,1171,0.26132559696496316
8,30,Erie,48,0,4583,1197,0.2611826314641065
9,27,Erie,49,0,4600,1226,0.2665217391304348
10,25,Erie,45,0,4558,1344,0.2948661693725318
5,31,Nassau,88,9,4872,610,0.12520525451559936
6,28,Nassau,89,9,5334,808,0.15148106486689164
7,26,Nassau,94,9,5399,842,0.15595480644563808
8,30,Nassau,102,9,5400,858,0.15888888888888889
9,27,Nassau,96,9,5529,861,0.15572436245252305
10,25,Nassau,93,9,5566,867,0.15576715774344232
5,31,Suffolk,211,69,6153,1325,0.21534210954006175
6,28,Suffolk,232,90,6152,1484,0.24122236671001301
7,26,Suffolk,244,112,6180,1521,0.24611650485436892
8,30,Suffolk,254,113,6343,1537,0.24231436228913764
9,27,Suffolk,248,113,6444,1548,0.24022346368715083
10,25,Suffolk,253,113,6508,1561,0.23985863552550707
5,31,Nassau,155,3,4872,610,0.12520525451559936
6,28,Nassau,161,4,5334,808,0.15148106486689164
7,26,Nassau,169,4,5399,842,0.15595480644563808
8,30,Nassau,190,4,5400,858,0.15888888888888889
9,27,Nassau,189,4,5529,861,0.15572436245252305
10,25,Nassau,183,4,5566,867,0.15576715774344232
5,31,Queens,245,0,8683,914,0.10526315789473684
6,28,Queens,222,3,9066,1219,0.13445841606000442
7,26,Queens,224,3,9114,1253,0.13748079877112135
8,30,Queens,230,5,9310,1337,0.14360902255639096
9,27,Queens,241,5,9359,1357,0.14499412330377176
10,25,Queens,256,6,9387,1379,0.14690529455630127
5,31,Suffolk,141,5,6153,1325,0.21534210954006175
6,28,Suffolk,158,6,6152,1484,0.24122236671001301
7,26,Suffolk,172,6,6180,1521,0.24611650485436892
8,30,Suffolk,179,6,6343,1537,0.24231436228913764
9,27,Suffolk,182,6,6444,1548,0.24022346368715083
10,25,Suffolk,167,7,6508,1561,0.23985863552550707
5,31,New York,15,2,4485,654,0.14581939799331103
6,28,New York,15,2,4482,707,0.15774207942882643
7,26,New York,13,2,4508,733,0.16259982253771074
8,30,New York,12,2,4562,750,0.16440157825515125
9,27,New York,12,2,4501,774,0.17196178626971784
10,25,New York,12,2,4610,780,0.16919739696312364
5,31,Rockland,0,8,958,87,0.09081419624217119
6,28,Rockland,0,8,1020,119,0.11666666666666667
7,26,Rockland,0,8,1021,123,0.12047012732615084
8,30,Rockland,0,8,1034,126,0.1218568665377176
9,27,Rockland,0,8,1070,133,0.12429906542056075
10,25,Rockland,0,8,1081,140,0.12950971322849214
5,31,Putnam,119,10,201,22,0.10945273631840796
6,28,Putnam,120,12,204,25,0.12254901960784313
7,26,Putnam,128,12,213,25,0.11737089201877934
8,30,Putnam,125,12,209,25,0.11961722488038277
9,27,Putnam,123,12,216,26,0.12037037037037036
10,25,Putnam,128,14,224,29,0.12946428571428573
5,31,Monroe,21,0,3810,404,0.10603674540682415
6,28,Monroe,24,1,3779,434,0.11484519714210109
7,26,Monroe,25,1,3847,436,0.1133350662854172
8,30,Monroe,23,1,4000,438,0.1095
9,27,Monroe,26,1,4026,441,0.10953800298062594
10,25,Monroe,23,1,4147,473,0.11405835543766578
5,31,Kings,188,4,7723,851,0.11019034054124045
6,28,Kings,190,22,7928,1106,0.13950554994954592
7,26,Kings,188,22,8019,1136,0.1416635490709565
8,30,Kings,202,22,8153,1147,0.14068441064638784
9,27,Kings,207,22,8145,1176,0.1443830570902394
10,25,Kings,211,23,8167,1234,0.1510958736378107
5,31,Dutchess,144,1,1506,123,0.08167330677290836
6,28,Dutchess,140,1,1603,126,0.07860262008733625
7,26,Dutchess,142,2,1588,129,0.08123425692695214
8,30,Dutchess,137,2,1601,131,0.08182386008744534
9,27,Dutchess,147,2,1627,133,0.08174554394591273
10,25,Dutchess,140,2,1633,133,0.08144519289650949
5,31,Dutchess,77,38,1506,123,0.08167330677290836
6,28,Dutchess,88,39,1603,126,0.07860262008733625
7,26,Dutchess,91,40,1588,129,0.08123425692695214
8,30,Dutchess,91,40,1601,131,0.08182386008744534
9,27,Dutchess,93,40,1627,133,0.08174554394591273
10,25,Dutchess,103,40,1633,133,0.08144519289650949
5,31,Westchester,90,21,4474,626,0.1399195350916406
6,28,Westchester,85,26,4808,775,0.16118968386023294
7,26,Westchester,98,27,4814,805,0.16722060656418777
8,30,Westchester,95,27,4944,810,0.1638349514563107
9,27,Westchester,107,27,4964,824,0.16599516518936341
10,25,Westchester,100,27,4989,862,0.17278011625576267
5,31,Albany,88,0,1411,130,0.09213323883770376
6,28,Albany,88,0,1443,141,0.09771309771309772
7,26,Albany,85,0,1474,155,0.10515603799185888
8,30,Albany,87,0,1484,164,0.1105121293800539
9,27,Albany,83,0,1475,164,0.1111864406779661
10,25,Albany,82,1,1519,169,0.11125740618828177
5,31,Nassau,191,41,4872,610,0.12520525451559936
6,28,Nassau,186,51,5334,808,0.15148106486689164
7,26,Nassau,188,69,5399,842,0.15595480644563808
8,30,Nassau,187,69,5400,858,0.15888888888888889
9,27,Nassau,185,69,5529,861,0.15572436245252305
10,25,Nassau,186,69,5566,867,0.15576715774344232
5,31,Westchester,171,0,4474,626,0.1399195350916406
6,28,Westchester,157,0,4808,775,0.16118968386023294
7,26,Westchester,149,0,4814,805,0.16722060656418777
8,30,Westchester,148,0,4944,810,0.1638349514563107
9,27,Westchester,156,0,4964,824,0.16599516518936341
10,25,Westchester,159,0,4989,862,0.17278011625576267
5,31,Suffolk,39,39,6153,1325,0.21534210954006175
6,28,Suffolk,45,39,6152,1484,0.24122236671001301
7,26,Suffolk,40,39,6180,1521,0.24611650485436892
8,30,Suffolk,46,39,6343,1537,0.24231436228913764
9,27,Suffolk,49,39,6444,1548,0.24022346368715083
10,25,Suffolk,45,39,6508,1561,0.23985863552550707
5,31,Erie,259,0,4271,782,0.18309529384219153
6,28,Erie,250,0,4473,1113,0.24882629107981222
7,26,Erie,248,0,4481,1171,0.26132559696496316
8,30,Erie,246,0,4583,1197,0.2611826314641065
9,27,Erie,242,3,4600,1226,0.2665217391304348
10,25,Erie,233,10,4558,1344,0.2948661693725318
5,31,Suffolk,59,0,6153,1325,0.21534210954006175
6,28,Suffolk,61,0,6152,1484,0.24122236671001301
7,26,Suffolk,57,2,6180,1521,0.24611650485436892
8,30,Suffolk,55,2,6343,1537,0.24231436228913764
9,27,Suffolk,59,2,6444,1548,0.24022346368715083
10,25,Suffolk,72,2,6508,1561,0.23985863552550707
5,31,Suffolk,114,83,6153,1325,0.21534210954006175
6,28,Suffolk,120,84,6152,1484,0.24122236671001301
7,26,Suffolk,129,84,6180,1521,0.24611650485436892
8,30,Suffolk,126,84,6343,1537,0.24231436228913764
9,27,Suffolk,133,84,6444,1548,0.24022346368715083
10,25,Suffolk,131,84,6508,1561,0.23985863552550707
5,31,Queens,196,1,8683,914,0.10526315789473684
6,28,Queens,212,10,9066,1219,0.13445841606000442
7,26,Queens,226,10,9114,1253,0.13748079877112135
8,30,Queens,227,10,9310,1337,0.14360902255639096
9,27,Queens,219,12,9359,1357,0.14499412330377176
10,25,Queens,223,28,9387,1379,0.14690529455630127
5,31,Suffolk,228,15,6153,1325,0.21534210954006175
6,28,Suffolk,212,18,6152,1484,0.24122236671001301
7,26,Suffolk,204,18,6180,1521,0.24611650485436892
8,30,Suffolk,205,18,6343,1537,0.24231436228913764
9,27,Suffolk,207,18,6444,1548,0.24022346368715083
10,25,Suffolk,214,18,6508,1561,0.23985863552550707
5,31,Suffolk,283,41,6153,1325,0.21534210954006175
6,28,Suffolk,267,42,6152,1484,0.24122236671001301
7,26,Suffolk,254,42,6180,1521,0.24611650485436892
8,30,Suffolk,246,42,6343,1537,0.24231436228913764
9,27,Suffolk,254,42,6444,1548,0.24022346368715083
10,25,Suffolk,247,42,6508,1561,0.23985863552550707
5,31,Suffolk,35,0,6153,1325,0.21534210954006175
6,28,Suffolk,50,0,6152,1484,0.24122236671001301
7,26,Suffolk,44,0,6180,1521,0.24611650485436892
8,30,Suffolk,51,0,6343,1537,0.24231436228913764
9,27,Suffolk,48,0,6444,1548,0.24022346368715083
10,25,Suffolk,47,0,6508,1561,0.23985863552550707
5,31,Niagara,215,0,1012,67,0.06620553359683795
6,28,Niagara,201,2,1109,108,0.09738503155996393
7,26,Niagara,203,2,1129,141,0.12488928255093003
8,30,Niagara,206,2,1145,161,0.1406113537117904
9,27,Niagara,204,2,1130,163,0.14424778761061946
10,25,Niagara,198,2,1154,169,0.1464471403812825
5,31,Westchester,11,0,4474,626,0.1399195350916406
6,28,Westchester,12,1,4808,775,0.16118968386023294
7,26,Westchester,12,1,4814,805,0.16722060656418777
8,30,Westchester,10,1,4944,810,0.1638349514563107
9,27,Westchester,13,1,4964,824,0.16599516518936341
10,25,Westchester,12,1,4989,862,0.17278011625576267
5,31,Ulster,244,0,1028,118,0.11478599221789883
6,28,Ulster,243,0,1038,118,0.11368015414258188
7,26,Ulster,247,0,1032,118,0.11434108527131782
8,30,Ulster,236,5,1056,123,0.11647727272727272
9,27,Ulster,227,6,1045,130,0.12440191387559808
10,25,Ulster,221,6,1030,133,0.129126213592233
5,31,Kings,179,30,7723,851,0.11019034054124045
6,28,Kings,173,30,7928,1106,0.13950554994954592
7,26,Kings,171,30,8019,1136,0.1416635490709565
8,30,Kings,171,30,8153,1147,0.14068441064638784
9,27,Kings,174,31,8145,1176,0.1443830570902394
10,25,Kings,168,32,8167,1234,0.1510958736378107
5,31,Westchester,19,1,4474,626,0.1399195350916406
6,28,Westchester,20,2,4808,775,0.16118968386023294
7,26,Westchester,19,2,4814,805,0.16722060656418777
8,30,Westchester,20,2,4944,810,0.1638349514563107
9,27,Westchester,19,2,4964,824,0.16599516518936341
10,25,Westchester,21,2,4989,862,0.17278011625576267
5,31,Bronx,29,0,8232,798,0.09693877551020408
6,28,Bronx,27,0,9266,1328,0.14331966328512843
7,26,Bronx,27,0,9248,1357,0.14673442906574394
8,30,Bronx,27,0,9057,1372,0.15148503919620182
9,27,Bronx,26,0,9345,1382,0.14788657035848046
10,25,Bronx,25,0,9386,1391,0.1481994459833795
5,31,Suffolk,205,50,6153,1325,0.21534210954006175
6,28,Suffolk,196,55,6152,1484,0.24122236671001301
7,26,Suffolk,204,55,6180,1521,0.24611650485436892
8,30,Suffolk,206,55,6343,1537,0.24231436228913764
9,27,Suffolk,200,55,6444,1548,0.24022346368715083
10,25,Suffolk,197,55,6508,1561,0.23985863552550707
5,31,Broome,17,0,1312,93,0.07088414634146341
6,28,Broome,20,0,1338,131,0.09790732436472346
7,26,Broome,19,0,1345,182,0.13531598513011153
8,30,Broome,17,0,1357,207,0.15254237288135594
9,27,Broome,19,0,1340,207,0.15447761194029852
10,25,Broome,3,8,1298,305,0.2349768875192604
5,31,Suffolk,0,0,6153,1325,0.21534210954006175
6,28,Suffolk,7,0,6152,1484,0.24122236671001301
7,26,Suffolk,7,0,6180,1521,0.24611650485436892
8,30,Suffolk,7,0,6343,1537,0.24231436228913764
9,27,Suffolk,10,0,6444,1548,0.24022346368715083
10,25,Suffolk,4,0,6508,1561,0.23985863552550707
5,31,Erie,46,3,4271,782,0.18309529384219153
6,28,Erie,49,3,4473,1113,0.24882629107981222
7,26,Erie,49,3,4481,1171,0.26132559696496316
8,30,Erie,50,3,4583,1197,0.2611826314641065
9,27,Erie,51,5,4600,1226,0.2665217391304348
10,25,Erie,54,5,4558,1344,0.2948661693725318
5,31,Queens,0,0,8683,914,0.10526315789473684
6,28,Queens,0,0,9066,1219,0.13445841606000442
7,26,Queens,0,0,9114,1253,0.13748079877112135
8,30,Queens,0,0,9310,1337,0.14360902255639096
9,27,Queens,0,0,9359,1357,0.14499412330377176
10,25,Queens,0,0,9387,1379,0.14690529455630127
5,31,Montgomery,139,2,512,2,0.00390625
6,28,Montgomery,137,2,518,2,0.003861003861003861
7,26,Montgomery,137,2,517,4,0.007736943907156673
8,30,Montgomery,144,2,525,21,0.04
9,27,Montgomery,137,2,521,22,0.04222648752399232
10,25,Montgomery,140,2,526,22,0.04182509505703422
5,31,Ulster,33,0,1028,118,0.11478599221789883
6,28,Ulster,30,0,1038,118,0.11368015414258188
7,26,Ulster,31,0,1032,118,0.11434108527131782
8,30,Ulster,32,0,1056,123,0.11647727272727272
9,27,Ulster,35,0,1045,130,0.12440191387559808
10,25,Ulster,33,0,1030,133,0.129126213592233
5,31,Broome,32,0,1312,93,0.07088414634146341
6,28,Broome,31,0,1338,131,0.09790732436472346
7,26,Broome,32,0,1345,182,0.13531598513011153
8,30,Broome,32,0,1357,207,0.15254237288135594
9,27,Broome,31,0,1340,207,0.15447761194029852
10,25,Broome,32,0,1298,305,0.2349768875192604
5,31,Albany,24,0,1411,130,0.09213323883770376
6,28,Albany,23,0,1443,141,0.09771309771309772
7,26,Albany,24,0,1474,155,0.10515603799185888
8,30,Albany,24,0,1484,164,0.1105121293800539
9,27,Albany,24,0,1475,164,0.1111864406779661
10,25,Albany,24,0,1519,169,0.11125740618828177
5,31,Nassau,47,12,4872,610,0.12520525451559936
6,28,Nassau,40,12,5334,808,0.15148106486689164
7,26,Nassau,40,12,5399,842,0.15595480644563808
8,30,Nassau,40,12,5400,858,0.15888888888888889
9,27,Nassau,46,12,5529,861,0.15572436245252305
10,25,Nassau,43,12,5566,867,0.15576715774344232
6,28,Queens,0,0,9066,1219,0.13445841606000442
7,26,Queens,0,0,9114,1253,0.13748079877112135
8,30,Queens,0,0,9310,1337,0.14360902255639096
9,27,Queens,0,0,9359,1357,0.14499412330377176
10,25,Queens,0,0,9387,1379,0.14690529455630127
5,31,Monroe,18,0,3810,404,0.10603674540682415
6,28,Monroe,17,0,3779,434,0.11484519714210109
7,26,Monroe,16,0,3847,436,0.1133350662854172
8,30,Monroe,19,0,4000,438,0.1095
9,27,Monroe,19,0,4026,441,0.10953800298062594
10,25,Monroe,18,0,4147,473,0.11405835543766578
5,31,Queens,0,0,8683,914,0.10526315789473684
6,28,Queens,0,0,9066,1219,0.13445841606000442
7,26,Queens,0,0,9114,1253,0.13748079877112135
8,30,Queens,0,0,9310,1337,0.14360902255639096
9,27,Queens,0,0,9359,1357,0.14499412330377176
10,25,Queens,0,0,9387,1379,0.14690529455630127
5,31,Jefferson,162,0,490,0,0
6,28,Jefferson,167,0,502,0,0
7,26,Jefferson,164,0,503,1,0.0019880715705765406
8,30,Jefferson,164,0,509,1,0.0019646365422396855
9,27,Jefferson,161,0,507,1,0.0019723865877712033
10,25,Jefferson,162,0,507,1,0.0019723865877712033
5,31,Westchester,5,0,4474,626,0.1399195350916406
6,28,Westchester,9,0,4808,775,0.16118968386023294
7,26,Westchester,7,0,4814,805,0.16722060656418777
8,30,Westchester,12,0,4944,810,0.1638349514563107
9,27,Westchester,10,0,4964,824,0.16599516518936341
10,25,Westchester,8,0,4989,862,0.17278011625576267
5,31,Onondaga,14,0,2297,386,0.16804527644754028
6,28,Onondaga,18,0,2354,461,0.19583687340696687
7,26,Onondaga,13,0,2414,463,0.19179784589892296
8,30,Onondaga,14,0,2425,467,0.19257731958762886
9,27,Onondaga,17,0,2449,468,0.19109840751327073
10,25,Onondaga,14,0,2422,473,0.1952931461601982
5,31,Nassau,18,0,4872,610,0.12520525451559936
6,28,Nassau,18,0,5334,808,0.15148106486689164
7,26,Nassau,20,0,5399,842,0.15595480644563808
8,30,Nassau,19,0,5400,858,0.15888888888888889
9,27,Nassau,17,0,5529,861,0.15572436245252305
10,25,Nassau,17,0,5566,867,0.15576715774344232
5,31,Rockland,0,0,958,87,0.09081419624217119
6,28,Rockland,0,0,1020,119,0.11666666666666667
7,26,Rockland,0,0,1021,123,0.12047012732615084
8,30,Rockland,0,0,1034,126,0.1218568665377176
9,27,Rockland,12,0,1070,133,0.12429906542056075
10,25,Rockland,13,0,1081,140,0.12950971322849214
5,31,Westchester,23,0,4474,626,0.1399195350916406
6,28,Westchester,24,0,4808,775,0.16118968386023294
7,26,Westchester,24,0,4814,805,0.16722060656418777
8,30,Westchester,24,0,4944,810,0.1638349514563107
9,27,Westchester,24,0,4964,824,0.16599516518936341
10,25,Westchester,24,0,4989,862,0.17278011625576267
5,31,Delaware,115,0,194,0,0
6,28,Delaware,112,0,308,0,0
7,26,Delaware,113,0,310,0,0
8,30,Delaware,124,0,315,0,0
9,27,Delaware,113,0,302,0,0
10,25,Delaware,116,0,307,0,0
6,28,Rockland,8,0,1020,119,0.11666666666666667
7,26,Rockland,6,0,1021,123,0.12047012732615084
8,30,Rockland,6,0,1034,126,0.1218568665377176
9,27,Rockland,5,0,1070,133,0.12429906542056075
10,25,Rockland,8,0,1081,140,0.12950971322849214
5,31,Queens,124,0,8683,914,0.10526315789473684
6,28,Queens,119,0,9066,1219,0.13445841606000442
7,26,Queens,122,0,9114,1253,0.13748079877112135
8,30,Queens,124,0,9310,1337,0.14360902255639096
9,27,Queens,120,0,9359,1357,0.14499412330377176
10,25,Queens,120,0,9387,1379,0.14690529455630127
6,28,Westchester,167,0,4808,775,0.16118968386023294
7,26,Westchester,169,0,4814,805,0.16722060656418777
8,30,Westchester,169,0,4944,810,0.1638349514563107
9,27,Westchester,168,0,4964,824,0.16599516518936341
10,25,Westchester,168,0,4989,862,0.17278011625576267
