county,month,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
Delaware,3/1/2020,20,127,0.157480315,0
Delaware,4/1/2020,41,626,0.065495208,0.032786885
Delaware,5/1/2020,20,2342,0.00853971,0.024691358
Delaware,6/1/2020,10,4660,0.002145923,0.043956044
Delaware,7/1/2020,12,3765,0.003187251,0.038834951
Delaware,8/1/2020,12,4605,0.002605863,0.034782609
Delaware,9/1/2020,22,5286,0.004161937,0.03649635
Delaware,10/1/2020,55,7563,0.007272246,0.03125
Delaware,11/1/2020,85,4355,0.019517796,0.02166065
Dutchess,3/1/2020,547,2562,0.213505074,0.005484461
Dutchess,4/1/2020,2455,12523,0.196039288,0.022984677
Dutchess,5/1/2020,922,17804,0.051786115,0.035423038
Dutchess,6/1/2020,289,27763,0.010409538,0.035841443
Dutchess,7/1/2020,291,32537,0.008943664,0.033969805
Dutchess,8/1/2020,364,42510,0.008562691,0.031429745
Dutchess,9/1/2020,280,36705,0.007628389,0.03030303
Dutchess,10/1/2020,417,52189,0.00799019,0.029649596
Dutchess,11/1/2020,620,27515,0.022533164,0.027970897
Erie,3/1/2020,464,2207,0.210240145,0.021551724
Erie,4/1/2020,3017,14802,0.203823808,0.061476587
Erie,5/1/2020,2642,47504,0.055616369,0.081169361
Erie,6/1/2020,1214,78201,0.015524098,0.077824724
Erie,7/1/2020,1211,84624,0.014310361,0.069489939
Erie,8/1/2020,1399,100096,0.013976582,0.060922891
Erie,9/1/2020,1627,101943,0.015959899,0.054000346
Erie,10/1/2020,1957,134470,0.014553432,0.048333457
Erie,11/1/2020,4215,84830,0.049687611,0.038825651
Essex,3/1/2020,6,87,0.068965517,0
Essex,4/1/2020,22,303,0.072607261,0
Essex,5/1/2020,9,2628,0.003424658,0
Essex,6/1/2020,5,3270,0.001529052,0
Essex,7/1/2020,13,3159,0.004115226,0
Essex,8/1/2020,76,4097,0.018550159,0.045801527
Essex,9/1/2020,38,4210,0.009026128,0.082840237
Essex,10/1/2020,34,5594,0.006077941,0.068965517
Essex,11/1/2020,27,2827,0.009550761,0.060869565
Franklin,3/1/2020,9,115,0.07826087,0
Franklin,4/1/2020,6,275,0.021818182,0
Franklin,5/1/2020,8,3067,0.002608412,0
Franklin,6/1/2020,8,4291,0.001864367,0
Franklin,7/1/2020,19,4545,0.004180418,0.02
Franklin,8/1/2020,8,5257,0.00152178,0.017241379
Franklin,9/1/2020,8,4860,0.001646091,0.015151515
Franklin,10/1/2020,21,7689,0.002731174,0.011494253
Franklin,11/1/2020,101,4035,0.025030979,0.015957447
Fulton,3/1/2020,2,129,0.015503876,0
Fulton,4/1/2020,73,699,0.104434907,0.04
Fulton,5/1/2020,135,2710,0.049815498,0.09047619
Fulton,6/1/2020,47,5252,0.008948972,0.101167315
Fulton,7/1/2020,25,4637,0.005391417,0.09929078
Fulton,8/1/2020,29,5392,0.005378338,0.090032154
Fulton,9/1/2020,28,4502,0.006219458,0.08259587
Fulton,10/1/2020,28,7172,0.003904071,0.076294278
Fulton,11/1/2020,26,3391,0.007667355,0.071246819
Genesee,3/1/2020,13,182,0.071428571,0.076923077
Genesee,4/1/2020,141,853,0.165298945,0.019480519
Genesee,5/1/2020,48,2910,0.016494845,0.024752475
Genesee,6/1/2020,36,5631,0.006393181,0.021008403
Genesee,7/1/2020,34,6084,0.005588429,0.022058824
Genesee,8/1/2020,25,7350,0.003401361,0.02020202
Genesee,9/1/2020,38,7120,0.005337079,0.017910448
Genesee,10/1/2020,76,9737,0.007805279,0.01459854
Genesee,11/1/2020,192,5101,0.037639678,0.009950249
Greene,3/1/2020,18,230,0.07826087,0
Greene,4/1/2020,121,941,0.12858661,0.014388489
Greene,5/1/2020,100,1804,0.055432373,0.054393305
Greene,6/1/2020,21,3492,0.006013746,0.05
Greene,7/1/2020,29,4035,0.007187113,0.044982699
Greene,8/1/2020,20,4388,0.004557885,0.042071197
Greene,9/1/2020,19,4175,0.004550898,0.042682927
Greene,10/1/2020,188,7457,0.025211211,0.029069767
Greene,11/1/2020,69,3502,0.019703027,0.027350427
Hamilton,3/1/2020,2,14,0.142857143,0
Hamilton,4/1/2020,1,26,0.038461538,0
Hamilton,5/1/2020,2,409,0.004889976,0.2
Hamilton,6/1/2020,1,377,0.00265252,0.166666667
Hamilton,7/1/2020,1,464,0.002155172,0.142857143
Hamilton,8/1/2020,7,472,0.014830508,0.071428571
Hamilton,9/1/2020,1,420,0.002380952,0.066666667
Hamilton,10/1/2020,4,558,0.007168459,0.052631579
Hamilton,11/1/2020,7,354,0.019774011,0.038461538
Herkimer,3/1/2020,12,83,0.144578313,0.166666667
Herkimer,4/1/2020,48,737,0.065128901,0.05
Herkimer,5/1/2020,49,3567,0.013737034,0.027522936
Herkimer,6/1/2020,53,8625,0.006144928,0.018518519
Herkimer,7/1/2020,78,7000,0.011142857,0.020833333
Herkimer,8/1/2020,58,8924,0.006499328,0.033557047
Herkimer,9/1/2020,42,8275,0.005075529,0.029411765
Herkimer,10/1/2020,59,10855,0.005435283,0.025062657
Herkimer,11/1/2020,92,5485,0.016773017,0.020366599
Jefferson,3/1/2020,12,365,0.032876712,0
Jefferson,4/1/2020,49,1190,0.041176471,0
Jefferson,5/1/2020,13,4803,0.002706642,0
Jefferson,6/1/2020,14,7335,0.001908657,0
Jefferson,7/1/2020,42,7738,0.005427759,0
Jefferson,8/1/2020,20,7267,0.002752167,0.006666667
