month,county,cumulative_number_of_positives,cummulative_death,cumulative_number_of_tests_performed,month_fatal,new_positives,total_number_of_tests_performed,population
April,Warren,182,8,1467,0.04395604395604396,164,998,1918320
August,Warren,322,30,22246,0.09316770186335403,22,6168,1982264
July,Warren,300,30,16078,0.1,37,5998,1982264
June,Warren,263,30,10080,0.11406844106463879,8,4967,1918320
March,Warren,18,0,469,0,18,469,1982264
May,Warren,255,28,5113,0.10980392156862745,73,3646,1982264
November,Warren,507,30,44826,0.05917159763313609,39,4755,895216
October,Warren,468,30,40071,0.0641025641025641,77,10645,1982264
September,Warren,391,30,29426,0.07672634271099744,69,7180,1918320
April,Washington,170,3,1093,0.01764705882352941,160,822,1836120
August,Washington,268,14,20293,0.05223880597014925,13,5293,1897324
July,Washington,255,14,15000,0.054901960784313725,9,5602,1897324
June,Washington,246,14,9398,0.056910569105691054,11,5331,1836120
March,Washington,10,0,271,0,10,271,1897324
May,Washington,235,14,4067,0.059574468085106386,65,2974,1897324
November,Washington,403,14,41425,0.034739454094292806,53,5844,856856
October,Washington,350,14,35581,0.04,48,8784,1897324
September,Washington,302,14,26797,0.046357615894039736,34,6504,1836120
April,Wayne,71,1,1295,0.014084507042253521,47,978,2697540
August,Wayne,280,3,35427,0.010714285714285714,35,10077,2787458
July,Wayne,245,2,25350,0.00816326530612245,71,10230,2787458
June,Wayne,174,2,15120,0.011494252873563218,58,9382,2697540
March,Wayne,24,0,317,0,24,317,2787458
May,Wayne,116,2,5738,0.017241379310344827,45,4443,2787458
November,Wayne,757,10,66574,0.013210039630118891,196,6908,1258852
October,Wayne,561,4,59666,0.0071301247771836,235,13386,2787458
September,Wayne,326,3,46280,0.009202453987730062,46,10853,2697540
April,Westchester,29232,1031,94442,0.03526956759715381,18549,57252,29025180
August,Westchester,37021,1452,534952,0.03922098268550282,1047,140735,29992686
July,Westchester,35974,1445,394217,0.04016789903819425,1108,123525,29992686
June,Westchester,34866,1425,270692,0.04087076234727242,1314,108784,29025180
March,Westchester,10683,25,37190,0.002340166619863334,10683,37190,29992686
May,Westchester,33552,1359,161908,0.04050429184549356,4320,67466,29992686
November,Westchester,44346,1486,961342,0.03350922292878726,3400,101235,13545084
October,Westchester,40946,1471,860107,0.03592536511502955,2646,189448,29992686
September,Westchester,38300,1456,670659,0.03801566579634465,1279,135707,29025180
April,Wyoming,68,4,584,0.058823529411764705,58,459,1195770
August,Wyoming,126,4,13502,0.031746031746031744,14,4044,1235629
July,Wyoming,112,4,9458,0.03571428571428571,17,3735,1235629
June,Wyoming,95,4,5723,0.042105263157894736,9,3309,1195770
March,Wyoming,10,1,125,0.1,10,125,1235629
May,Wyoming,86,4,2414,0.046511627906976744,18,1830,1235629
November,Wyoming,343,5,28618,0.014577259475218658,140,2890,558026
October,Wyoming,203,5,25728,0.024630541871921183,66,5323,1235629
September,Wyoming,137,4,20405,0.029197080291970802,11,6903,1195770
April,Yates,18,1,274,0.05555555555555555,18,220,747390
August,Yates,62,6,7735,0.0967741935483871,7,2119,772303
July,Yates,55,6,5616,0.10909090909090909,9,2028,772303
June,Yates,46,6,3588,0.13043478260869565,7,2163,747390
March,Yates,0,0,54,NaN,0,54,772303
May,Yates,39,6,1425,0.15384615384615385,21,1151,772303
November,Yates,206,6,14472,0.02912621359223301,72,1311,348782
October,Yates,134,6,13161,0.04477611940298507,70,3181,772303
September,Yates,64,6,9980,0.09375,2,2245,747390
