month,county,total_supply_ppe_monthly,total_shortage_stuff_monthly,ventilator_dependent_unit_monthly
8,New York,1,1,1
8,Niagara,1,1,0
8,Oneida,1,1,1
8,Onondaga,1,0,0
8,Ontario,1,1,1
8,Orange,1,1,0
8,Orleans,1,1,0
8,Oswego,1,1,0
8,Otsego,1,0,0
8,Putnam,1,1,0
8,Queens,1,1,1
8,Rensselaer,1,1,0
8,Richmond,1,1,1
8,Rockland,1,0,1
8,Saratoga,1,1,0
8,Schenectady,1,1,1
8,Schuyler,1,0,0
8,Seneca,1,1,0
8,St. Lawrence,1,0,0
8,Steuben,1,1,0
8,Suffolk,1,1,1
8,Sullivan,1,0,0
8,Tioga,1,0,0
8,Tompkins,1,1,0
8,Ulster,1,1,1
8,Warren,1,1,0
8,Washington,1,1,0
8,Wayne,1,1,0
8,Westchester,1,1,1
8,Wyoming,1,0,0
8,Yates,1,0,0
9,Albany,1,1,1
9,Allegany,1,1,0
9,Bronx,1,1,1
9,Broome,1,1,1
9,Cattaraugus,1,1,0
9,Cayuga,1,1,0
9,Chautauqua,1,1,0
9,Chemung,1,1,0
9,Chenango,1,1,0
9,Clinton,1,1,0
9,Columbia,1,0,0
9,Cortland,1,0,0
9,Delaware,1,1,0
9,Dutchess,1,1,1
9,Erie,1,1,1
9,Essex,1,1,0
9,Franklin,1,0,0
9,Fulton,1,1,0
9,Genesee,1,0,0
9,Greene,1,0,0
9,Herkimer,1,1,0
9,Jefferson,1,1,0
9,Kings,1,1,1
9,Lewis,1,0,0
9,Livingston,1,1,0
9,Madison,1,0,1
9,Monroe,1,1,1
9,Montgomery,1,1,0
9,Nassau,1,1,1
9,New York,1,1,1
9,Niagara,1,1,0
9,Oneida,1,1,1
9,Onondaga,1,1,0
9,Ontario,1,1,1
9,Orange,1,1,0
9,Orleans,1,1,0
9,Oswego,1,1,0
9,Otsego,1,1,0
9,Putnam,1,1,0
9,Queens,1,1,1
9,Rensselaer,1,1,0
9,Richmond,1,1,1
9,Rockland,1,1,1
9,Saratoga,1,1,0
9,Schenectady,1,1,1
9,Schuyler,1,0,0
9,Seneca,1,1,0
9,St. Lawrence,1,0,0
9,Steuben,1,1,0
9,Suffolk,1,1,1
9,Sullivan,1,0,0
9,Tioga,1,0,0
9,Tompkins,1,1,0
9,Ulster,1,1,1
9,Warren,1,1,0
9,Washington,1,1,0
9,Wayne,1,1,0
9,Westchester,1,1,1
9,Wyoming,1,1,0
9,Yates,1,0,0
10,Albany,1,1,1
10,Allegany,1,1,0
10,Bronx,1,1,1
10,Broome,1,1,1
10,Cattaraugus,1,1,0
10,Cayuga,1,1,0
10,Chautauqua,1,1,0
10,Chemung,1,1,0
10,Chenango,1,1,0
10,Clinton,1,1,0
10,Columbia,1,1,0
10,Cortland,1,0,0
10,Delaware,1,1,0
10,Dutchess,1,1,1
10,Erie,1,1,1
10,Essex,1,1,0
10,Franklin,1,0,0
10,Fulton,1,1,0
10,Genesee,1,1,0
10,Greene,1,0,0
10,Herkimer,1,0,0
10,Jefferson,1,1,0
10,Kings,1,1,1
10,Lewis,1,0,0
10,Livingston,1,1,0
10,Madison,1,0,1
10,Monroe,1,1,1
10,Montgomery,1,1,0
10,Nassau,1,1,1
10,New York,1,1,1
10,Niagara,1,1,0
10,Oneida,1,1,1
10,Onondaga,1,1,0
10,Ontario,1,1,1
10,Orange,1,1,0
10,Orleans,1,1,0
10,Oswego,1,0,0
10,Otsego,1,0,0
10,Putnam,1,1,0
10,Queens,1,1,1
10,Rensselaer,1,1,0
10,Richmond,1,1,1
10,Rockland,1,1,1
10,Saratoga,1,1,0
10,Schenectady,1,1,1
10,Schuyler,1,1,0
10,Seneca,1,1,0
10,St. Lawrence,1,0,0
10,Steuben,1,1,0
10,Suffolk,1,1,1
10,Sullivan,1,0,0
10,Tioga,1,1,0
10,Tompkins,1,1,0
10,Ulster,1,1,1
10,Warren,1,1,0
10,Washington,1,1,0
10,Wayne,1,1,0
10,Westchester,1,1,1
10,Wyoming,1,0,0
10,Yates,1,0,0
